freq,age,unit,sex,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Y15-74,THS_PER,T,LT,172.0,158.0,134.0,116.0,103.0,90.0,92.0,126.0,105.0,90.0,106.0,112.0
A,Y15-74,THS_PER,T,LU,15.0,15.0,18.0,17.0,16.0,17.0,17.0,21.0,17.0,15.0,18.0,22.0
A,Y15-74,THS_PER,T,LV,121.0,108.0,98.0,96.0,86.0,73.0,62.0,79.0,71.0,65.0,62.0,65.0
A,Y15-74,THS_PER,T,ME,49.0,47.0,47.0,48.0,44.0,42.0,43.0,48.0,,,,
A,Y15-74,THS_PER,T,MK,277.0,269.0,249.0,225.0,214.0,199.0,166.0,156.0,,,,
A,Y15-74,THS_PER,T,MT,12.0,12.0,11.0,10.0,9.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0
A,Y15-74,THS_PER,T,NL,756.0,769.0,723.0,647.0,547.0,459.0,423.0,466.0,408.0,350.0,359.0,372.0
A,Y15-74,THS_PER,T,NO,107.0,104.0,131.0,137.0,122.0,113.0,111.0,136.0,128.0,96.0,107.0,121.0
A,Y15-74,THS_PER,T,PL,1792.0,1566.0,1304.0,1063.0,843.0,659.0,567.0,552.0,599.0,511.0,502.0,512.0
A,Y15-74,THS_PER,T,PT,857.0,725.0,645.0,574.0,465.0,366.0,339.0,354.0,344.0,323.0,351.0,351.0
A,Y15-74,THS_PER,T,RO,719.0,693.0,683.0,581.0,500.0,429.0,400.0,497.0,459.0,465.0,456.0,451.0
A,Y15-74,THS_PER,T,RS,740.0,635.0,576.0,511.0,454.0,430.0,351.0,299.0,344.0,296.0,296.0,272.0
A,Y15-74,THS_PER,T,SE,414.0,414.0,391.0,371.0,363.0,349.0,377.0,466.0,493.0,421.0,440.0,480.0
A,Y15-74,THS_PER,T,SI,101.0,98.0,90.0,79.0,67.0,52.0,45.0,51.0,48.0,41.0,38.0,38.0
A,Y15-74,THS_PER,T,SK,394.0,366.0,323.0,274.0,229.0,184.0,161.0,186.0,188.0,170.0,162.0,148.0
A,Y15-74,THS_PER,T,TR,2442.0,2843.0,3035.0,3308.0,3421.0,3512.0,4445.0,4045.0,3915.0,3591.0,3274.0,3113.0
